,start_district,finish_district,count,total_distance,total_duration,time
356,104,000,338.0,2307375.0,598611.0,day
357,104,000,316.0,2220788.0,574914.0,evening
358,104,000,320.0,2190606.0,567815.0,morning
359,104,000,57.0,410383.0,106695.0,night
360,104,101,15019.0,32283934.0,8255153.0,day
361,104,101,7058.0,15505868.0,3977242.0,evening
362,104,101,11260.0,25043724.0,6414893.0,morning
363,104,101,782.0,1762228.0,449050.0,night
364,104,102,3492.0,11393168.0,3058546.0,day
365,104,102,2706.0,8842645.0,2402305.0,evening
366,104,102,2662.0,8187224.0,2172315.0,morning
367,104,102,239.0,740783.0,201227.0,night
368,104,103,19434.0,38558848.0,10797669.0,day
369,104,103,13735.0,26894269.0,7581030.0,evening
370,104,103,11448.0,25017116.0,6932239.0,morning
371,104,103,1436.0,2937807.0,832429.0,night
372,104,104,10262.0,7489146.0,2218394.0,day
373,104,104,8329.0,5702671.0,1686492.0,evening
374,104,104,4027.0,2979350.0,902555.0,morning
375,104,104,992.0,617727.0,181277.0,night
376,104,105,816.0,3813894.0,1001006.0,day
377,104,105,849.0,4021691.0,1061095.0,evening
378,104,105,351.0,1740670.0,454223.0,morning
379,104,105,136.0,673727.0,176860.0,night
380,104,201,7662.0,14811031.0,4197863.0,day
381,104,201,6556.0,12548702.0,3555880.0,evening
382,104,201,3636.0,6228205.0,1815260.0,morning
383,104,201,851.0,1680126.0,470669.0,night
384,104,202,2368.0,8173136.0,2167790.0,day
385,104,202,2192.0,7558214.0,2014188.0,evening
386,104,202,664.0,2326744.0,614558.0,morning
387,104,202,315.0,1099076.0,292596.0,night
388,104,203,1100.0,4899612.0,1323027.0,day
389,104,203,1156.0,5054204.0,1365643.0,evening
390,104,203,261.0,1217659.0,329950.0,morning
391,104,203,127.0,557284.0,150899.0,night
392,104,204,236.0,1321940.0,362450.0,day
393,104,204,227.0,1297789.0,354887.0,evening
394,104,204,214.0,1163957.0,318143.0,morning
395,104,204,27.0,159613.0,43684.0,night
396,104,301,5044.0,13004096.0,3816664.0,day
397,104,301,4611.0,11552366.0,3424501.0,evening
398,104,301,3322.0,8574853.0,2517840.0,morning
399,104,301,630.0,1565223.0,465121.0,night
400,104,302,5645.0,10951094.0,3433318.0,day
401,104,302,5960.0,11691534.0,3674065.0,evening
402,104,302,2083.0,3982406.0,1260722.0,morning
403,104,302,882.0,1694247.0,537101.0,night
404,104,303,3026.0,6869371.0,2169106.0,day
405,104,303,2703.0,6340526.0,2007052.0,evening
406,104,303,3496.0,7714432.0,2445340.0,morning
407,104,303,473.0,1142678.0,361743.0,night
408,104,304,2215.0,4594718.0,1505455.0,day
409,104,304,1736.0,3641712.0,1191124.0,evening
410,104,304,1828.0,3993316.0,1304936.0,morning
411,104,304,271.0,570569.0,189443.0,night
412,104,305,1154.0,4683655.0,1390234.0,day
413,104,305,989.0,4084989.0,1208313.0,evening
414,104,305,680.0,2736277.0,820948.0,morning
415,104,305,163.0,672335.0,199752.0,night
416,104,401,142.0,750293.0,223825.0,day
417,104,401,138.0,728864.0,217802.0,evening
418,104,401,8.0,45346.0,13681.0,morning
419,104,401,13.0,73748.0,21197.0,night
420,104,402,34.0,222572.0,64189.0,day
421,104,402,32.0,209987.0,60803.0,evening
422,104,402,4.0,26190.0,7685.0,morning
423,104,402,5.0,36545.0,10067.0,night
424,104,404,122.0,754516.0,221930.0,day
425,104,404,124.0,780334.0,229171.0,evening
426,104,404,4.0,24915.0,7282.0,morning
427,104,404,14.0,84779.0,25217.0,night
428,104,501,43.0,298010.0,83837.0,day
429,104,501,35.0,247531.0,69751.0,evening
430,104,501,23.0,171539.0,48366.0,morning
431,104,501,10.0,70180.0,21022.0,night
432,104,601,124.0,651142.0,181115.0,day
433,104,601,104.0,554255.0,154364.0,evening
434,104,601,30.0,155385.0,43015.0,morning
435,104,601,14.0,73065.0,20526.0,night
436,104,602,95.0,659093.0,182433.0,day
437,104,602,79.0,549717.0,152307.0,evening
438,104,602,41.0,306041.0,85470.0,morning
439,104,602,8.0,60322.0,16649.0,night
440,104,603,1.0,8706.0,2458.0,day
441,104,603,1.0,10276.0,2934.0,evening
442,104,701,5.0,61970.0,16290.0,day
443,104,701,1.0,11058.0,2920.0,evening
444,104,701,1.0,12336.0,3259.0,morning
445,104,702,1.0,11079.0,3032.0,evening
446,105,000,2359.0,11158363.0,3026906.0,day
447,105,000,1603.0,7667295.0,2085289.0,evening
448,105,000,2098.0,9805083.0,2654291.0,morning
449,105,000,409.0,2074958.0,561285.0,night
450,105,101,2694.0,11314207.0,3098463.0,day
451,105,101,1124.0,4831182.0,1322294.0,evening
452,105,101,3717.0,15554156.0,4265836.0,morning
453,105,101,319.0,1353267.0,368338.0,night
454,105,102,2265.0,9664988.0,2609146.0,day
455,105,102,1538.0,6426099.0,1739247.0,evening
456,105,102,2441.0,10427260.0,2839989.0,morning
457,105,102,183.0,733795.0,200825.0,night
458,105,103,12473.0,35267032.0,9749460.0,day
459,105,103,8069.0,22647112.0,6172205.0,evening
460,105,103,11977.0,32140443.0,8872020.0,morning
461,105,103,1011.0,3052015.0,852424.0,night
462,105,104,836.0,4036819.0,1071153.0,day
463,105,104,584.0,2766794.0,735179.0,evening
464,105,104,615.0,2923611.0,775803.0,morning
465,105,104,56.0,267426.0,70755.0,night
466,105,105,30098.0,28682592.0,8044603.0,day
467,105,105,22098.0,21740028.0,6204510.0,evening
468,105,105,20345.0,18374215.0,4962834.0,morning
469,105,105,1451.0,1590615.0,456485.0,night
470,105,201,409.0,2340156.0,629572.0,day
471,105,201,344.0,1990816.0,536511.0,evening
472,105,201,520.0,2930267.0,791167.0,morning
473,105,201,32.0,192726.0,51847.0,night
474,105,202,742.0,3411507.0,939174.0,day
475,105,202,560.0,2534559.0,694721.0,evening
476,105,202,291.0,1445964.0,397624.0,morning
477,105,202,68.0,314611.0,86921.0,night
478,105,203,23.0,181665.0,48785.0,day
479,105,203,11.0,97476.0,26216.0,evening
480,105,203,2.0,16359.0,4402.0,morning
481,105,203,4.0,30322.0,8273.0,night
482,105,204,5.0,53678.0,14183.0,day
483,105,204,7.0,59264.0,16187.0,evening
484,105,204,4.0,35968.0,9709.0,morning
485,105,301,430.0,2489747.0,696045.0,day
486,105,301,340.0,1934088.0,542471.0,evening
487,105,301,416.0,2381113.0,665230.0,morning
488,105,301,66.0,375821.0,106250.0,night
489,105,302,193.0,1151999.0,324588.0,day
490,105,302,212.0,1267619.0,356014.0,evening
491,105,302,103.0,618538.0,173462.0,morning
492,105,302,17.0,97120.0,27666.0,night
493,105,303,102.0,687937.0,193492.0,day
494,105,303,62.0,426980.0,120591.0,evening
495,105,303,138.0,907155.0,255306.0,morning
496,105,303,12.0,83861.0,23653.0,night
497,105,304,28.0,196543.0,55435.0,day
498,105,304,22.0,150501.0,42316.0,evening
499,105,304,48.0,336655.0,95154.0,morning
500,105,304,6.0,44729.0,12437.0,night
501,105,305,15.0,122764.0,34340.0,day
502,105,305,11.0,94713.0,26438.0,evening
503,105,305,10.0,88884.0,24798.0,morning
504,105,305,3.0,26988.0,7423.0,night
505,105,401,3.0,30843.0,8376.0,day
506,105,404,5.0,54087.0,14931.0,day
507,105,404,2.0,22400.0,6372.0,evening
508,105,501,1.0,10875.0,3145.0,day
509,105,501,1.0,14087.0,3883.0,morning
510,105,601,1.0,8543.0,2365.0,day
511,105,601,2.0,16944.0,4605.0,evening
512,105,601,3.0,26156.0,7344.0,morning
513,105,602,1.0,12517.0,3456.0,day
514,105,602,1.0,12311.0,3427.0,evening
515,105,602,2.0,21576.0,5863.0,morning
516,105,701,1.0,15647.0,4162.0,evening
517,105,702,1.0,16803.0,4618.0,evening
518,201,000,2179.0,12191947.0,3123650.0,day
519,201,000,1169.0,6525024.0,1675913.0,evening
520,201,000,2171.0,12665957.0,3231555.0,morning
521,201,000,183.0,1041453.0,267836.0,night
522,201,101,5955.0,22493239.0,5609599.0,day
523,201,101,1946.0,7563929.0,1883570.0,evening
524,201,101,4880.0,18692907.0,4647965.0,morning
525,201,101,215.0,840394.0,205512.0,night
526,201,102,1153.0,5509313.0,1445834.0,day
527,201,102,792.0,3756818.0,991734.0,evening
528,201,102,1080.0,5020304.0,1300375.0,morning
529,201,102,68.0,319930.0,83980.0,night
530,201,103,9121.0,30933987.0,8381528.0,day
531,201,103,5062.0,17284474.0,4685393.0,evening
532,201,103,7168.0,25731179.0,6910761.0,morning
533,201,103,545.0,1974737.0,518316.0,night
534,201,104,8550.0,15352487.0,4177264.0,day
535,201,104,5389.0,9361631.0,2529512.0,evening
536,201,104,3992.0,7265566.0,1962180.0,morning
537,201,104,364.0,628554.0,166336.0,night
538,201,105,590.0,3386624.0,904243.0,day
539,201,105,372.0,2147599.0,569993.0,evening
540,201,105,321.0,1781601.0,462924.0,morning
541,201,105,21.0,126485.0,33224.0,night
542,201,201,16333.0,17552687.0,5070488.0,day
543,201,201,13576.0,13545562.0,3926769.0,evening
544,201,201,10106.0,12699689.0,3809330.0,morning
545,201,201,2266.0,2236328.0,628453.0,night
546,201,202,7472.0,13881096.0,3677527.0,day
547,201,202,5487.0,10099710.0,2714914.0,evening
548,201,202,2844.0,4552597.0,1215020.0,morning
549,201,202,808.0,1665903.0,442364.0,night
550,201,203,3983.0,10002669.0,2788478.0,day
551,201,203,3246.0,8164524.0,2262411.0,evening
552,201,203,1160.0,2616255.0,738431.0,morning
553,201,203,559.0,1243567.0,344741.0,night
554,201,204,1464.0,5012900.0,1402858.0,day
555,201,204,1132.0,4020965.0,1123629.0,evening
556,201,204,1018.0,2913354.0,831306.0,morning
557,201,204,199.0,725442.0,201390.0,night
558,201,301,1841.0,7585075.0,2106794.0,day
559,201,301,1217.0,4952428.0,1381832.0,evening
560,201,301,1562.0,6575205.0,1816431.0,morning
561,201,301,125.0,520449.0,145081.0,night
562,201,302,2227.0,7262247.0,2114039.0,day
563,201,302,1876.0,6083501.0,1764610.0,evening
564,201,302,1076.0,3464353.0,996859.0,morning
565,201,302,193.0,640395.0,184663.0,night
566,201,303,2160.0,6922829.0,2079884.0,day
567,201,303,1440.0,4740757.0,1410220.0,evening
568,201,303,2134.0,6725072.0,1999964.0,morning
569,201,303,165.0,547765.0,162292.0,night
570,201,304,3221.0,7584670.0,2426195.0,day
571,201,304,1372.0,3022086.0,971557.0,evening
572,201,304,3202.0,6944022.0,2246989.0,morning
573,201,304,232.0,508203.0,161244.0,night
574,201,305,1239.0,5415911.0,1611661.0,day
575,201,305,739.0,3319676.0,983557.0,evening
576,201,305,680.0,2976159.0,901445.0,morning
577,201,305,86.0,369653.0,110332.0,night
578,201,401,199.0,911638.0,262589.0,day
579,201,401,98.0,440733.0,126710.0,evening
580,201,401,53.0,244599.0,71895.0,morning
581,201,401,19.0,84284.0,24271.0,night
582,201,402,67.0,379717.0,103011.0,day
583,201,402,37.0,191827.0,52091.0,evening
584,201,402,45.0,256270.0,69353.0,morning
