,start_district,finish_district,count,total_distance,total_duration,day,time
323,000,303,15.0,132650.0,35509.0,5.0,morning
324,000,303,2.0,17822.0,4767.0,5.0,night
325,000,303,8.0,79749.0,21516.0,6.0,day
326,000,303,8.0,84214.0,22620.0,6.0,evening
327,000,303,1.0,7821.0,2124.0,6.0,morning
328,000,303,4.0,36678.0,9938.0,6.0,night
329,000,304,16.0,111451.0,30319.0,0.0,day
330,000,304,7.0,54484.0,14534.0,0.0,evening
331,000,304,2.0,13796.0,3683.0,0.0,morning
332,000,304,6.0,43987.0,11747.0,0.0,night
333,000,304,41.0,304137.0,82838.0,1.0,day
334,000,304,14.0,107127.0,29165.0,1.0,evening
335,000,304,37.0,288644.0,77852.0,1.0,morning
336,000,304,2.0,15231.0,4173.0,1.0,night
337,000,304,44.0,334190.0,91642.0,2.0,day
338,000,304,22.0,160797.0,43775.0,2.0,evening
339,000,304,37.0,272817.0,74032.0,2.0,morning
340,000,304,2.0,14537.0,3942.0,2.0,night
341,000,304,50.0,376096.0,103002.0,3.0,day
342,000,304,13.0,100868.0,27791.0,3.0,evening
343,000,304,48.0,356247.0,96574.0,3.0,morning
344,000,304,2.0,17447.0,4794.0,3.0,night
345,000,304,44.0,341078.0,93789.0,4.0,day
346,000,304,12.0,90353.0,24515.0,4.0,evening
347,000,304,48.0,363244.0,97461.0,4.0,morning
348,000,304,34.0,258510.0,70750.0,5.0,day
349,000,304,13.0,98557.0,27017.0,5.0,evening
350,000,304,47.0,357038.0,96259.0,5.0,morning
351,000,304,1.0,7657.0,2042.0,5.0,night
352,000,304,12.0,89151.0,24602.0,6.0,day
353,000,304,5.0,37731.0,10197.0,6.0,evening
354,000,304,7.0,52630.0,14361.0,6.0,morning
355,000,304,3.0,22488.0,6112.0,6.0,night
356,000,305,4.0,36365.0,10199.0,0.0,day
357,000,305,2.0,19604.0,5362.0,0.0,evening
358,000,305,2.0,19892.0,5343.0,0.0,morning
359,000,305,2.0,18597.0,5077.0,0.0,night
360,000,305,5.0,46920.0,12872.0,1.0,day
361,000,305,2.0,15528.0,4404.0,1.0,evening
362,000,305,2.0,24082.0,6484.0,1.0,morning
363,000,305,13.0,119415.0,33316.0,2.0,day
364,000,305,3.0,29298.0,8151.0,2.0,evening
365,000,305,2.0,15751.0,4382.0,2.0,morning
366,000,305,9.0,78090.0,21867.0,3.0,day
367,000,305,2.0,15966.0,4485.0,3.0,evening
