,start_district,finish_district,count,total_distance,total_duration
415,404,702,17.0,125942.0,36779.0
416,501,000,11.0,138302.0,38235.0
417,501,101,284.0,2126771.0,546090.0
418,501,102,79.0,673272.0,174531.0
419,501,103,87.0,706361.0,194460.0
420,501,104,114.0,794233.0,223339.0
421,501,105,5.0,58344.0,15824.0
422,501,201,127.0,932745.0,265148.0
423,501,202,11.0,92163.0,26040.0
424,501,203,88.0,683765.0,196492.0
425,501,204,10.0,94899.0,27786.0
426,501,301,1448.0,8205553.0,2064319.0
427,501,302,501.0,2903703.0,823712.0
428,501,303,1310.0,6396393.0,1751857.0
429,501,304,650.0,3406467.0,986649.0
430,501,305,6072.0,21446404.0,5936269.0
431,501,401,113.0,656322.0,193880.0
432,501,402,40.0,241066.0,67606.0
433,501,404,1792.0,5715732.0,1714722.0
434,501,501,13606.0,18808345.0,5301333.0
435,501,601,164.0,983884.0,258979.0
436,501,602,1597.0,6967261.0,1943908.0
437,501,603,20.0,153919.0,41857.0
438,501,701,971.0,4406333.0,1206728.0
439,501,702,928.0,2949427.0,897806.0
440,601,000,2.0,26737.0,6911.0
441,601,101,1596.0,7368693.0,1849088.0
442,601,102,382.0,2159333.0,548258.0
443,601,103,364.0,2098350.0,565054.0
444,601,104,227.0,1166303.0,316756.0
445,601,105,7.0,68165.0,18315.0
446,601,201,67.0,432198.0,116925.0
447,601,202,12.0,104072.0,27603.0
448,601,203,32.0,274888.0,76503.0
449,601,204,3.0,30829.0,8408.0
450,601,301,5825.0,13439528.0,3421053.0
451,601,302,523.0,1563232.0,456630.0
452,601,303,1190.0,3920620.0,1106260.0
453,601,304,149.0,738606.0,210145.0
454,601,305,523.0,2351046.0,601139.0
455,601,401,2.0,16664.0,4733.0
456,601,402,1.0,8996.0,2612.0
457,601,404,7.0,50446.0,13983.0
458,601,501,130.0,810996.0,214606.0
459,601,601,4957.0,3993864.0,1288763.0
460,601,602,4485.0,10507119.0,3077744.0
461,601,603,583.0,2660561.0,780082.0
462,601,701,635.0,3621535.0,948191.0
463,601,702,170.0,1061132.0,294929.0
464,602,000,4.0,60566.0,15888.0
465,602,101,1018.0,6807769.0,1749747.0
466,602,102,149.0,1160666.0,299217.0
467,602,103,163.0,1274306.0,346045.0
468,602,104,212.0,1477700.0,400421.0
469,602,105,1.0,10380.0,2805.0
470,602,201,74.0,625285.0,171181.0
471,602,202,5.0,53707.0,14326.0
472,602,203,4.0,43658.0,11978.0
473,602,204,1.0,11352.0,3111.0
474,602,301,4926.0,23086800.0,5986145.0
475,602,302,643.0,3468196.0,975544.0
476,602,303,1228.0,6541341.0,1803886.0
477,602,304,166.0,1158982.0,326634.0
478,602,305,670.0,4118646.0,1077237.0
479,602,401,19.0,179582.0,52737.0
480,602,402,1.0,9944.0,2716.0
481,602,404,127.0,844245.0,241735.0
482,602,501,2294.0,9375785.0,2487184.0
483,602,601,3698.0,8742128.0,2609509.0
484,602,602,64590.0,72340606.0,21014211.0
485,602,603,5370.0,15817162.0,4679242.0
486,602,701,9052.0,21251372.0,5512993.0
487,602,702,974.0,3396249.0,970950.0
488,603,101,43.0,394872.0,102222.0
489,603,102,13.0,137606.0,36076.0
490,603,103,7.0,73655.0,20087.0
491,603,104,8.0,77582.0,20858.0
492,603,105,1.0,14435.0,3918.0
493,603,201,1.0,11076.0,2929.0
494,603,203,2.0,25630.0,7042.0
495,603,301,406.0,2755613.0,719757.0
496,603,302,24.0,179108.0,49333.0
497,603,303,105.0,811056.0,222428.0
498,603,304,5.0,45635.0,12507.0
499,603,305,49.0,438493.0,114710.0
500,603,404,4.0,46051.0,12528.0
501,603,501,41.0,327373.0,86380.0
502,603,601,564.0,2645949.0,744183.0
503,603,602,4390.0,12795312.0,3541087.0
504,603,603,5353.0,6594175.0,2030029.0
505,603,701,357.0,1802970.0,478686.0
506,603,702,20.0,138510.0,37703.0
507,701,000,2.0,38948.0,10088.0
508,701,101,37.0,380708.0,96654.0
509,701,102,9.0,100291.0,25572.0
510,701,103,28.0,326534.0,85956.0
511,701,104,9.0,95735.0,25787.0
512,701,105,1.0,14321.0,3786.0
